epoch,epoch_time,forward_time,backward_time,comm_time,update_time,loss,train_acc,val_f1,test_f1,peak_memory_mb,config
1,48.828179458971135,21.784338249999564,27.024399332993198,0.0,0.000171166961081326,3.975546713188768,0.022407466548481077,0.02724686893411528,0.026889130755164366,8858.81640625,sequential
2,45.014503917016555,22.078973207972012,22.91696362500079,0.0,8.904101559892297e-05,3.9520664594466792,0.022642099706056795,0.027370642493679716,0.02699792762718374,8858.81640625,sequential
3,44.006221541028935,21.62491533398861,22.363452375051565,0.0,0.00012083398178219795,3.9290379202306904,0.022981014266999496,0.02753932469462507,0.027209026499346502,8858.81640625,sequential
